user_id,join_date,country,device_type,subscription_type
u747147,2021-09-04,CA,Windows,premium
u486986,2023-08-07,FR,iPhone,basic
u211871,2021-06-29,AU,Mac,premium
u535099,2022-01-17,JP,Android Phone,free
u477158,2020-04-26,CA,Mac,basic
u893659,2021-03-09,BR,iPhone,free
u681350,2021-06-11,BR,Mac,free
u410549,2022-03-21,JP,Mac,free
u548199,2020-12-05,FR,Mac,basic
u933758,2021-07-28,CA,Android Phone,free
u186181,2021-04-07,DE,Android Phone,free
u648413,2023-01-06,DE,Android Phone,free
u046791,2022-10-02,MX,iPad,enterprise
u488047,2023-01-08,AU,iPhone,premium
u976621,2023-07-31,FR,Android Phone,premium
u057308,2020-11-17,FR,iPad,enterprise
u147112,2021-11-22,DE,Android Tablet,free
u130687,2022-10-17,JP,Android Phone,enterprise
u832709,2023-06-15,UK,iPhone,basic
u234115,2022-11-08,DE,Mac,free
u559281,2022-09-03,IN,Android Phone,premium
u005250,2023-01-20,MX,Windows,premium
u681517,2021-11-17,IN,Android Phone,enterprise
u961887,2021-10-19,JP,iPhone,free
u941574,2022-11-30,FR,iPad,enterprise
u783158,2022-04-17,BR,iPad,free
u489443,2023-11-10,AU,Mac,premium
u939071,2022-12-16,BR,Mac,enterprise
u778878,2022-11-26,UK,Mac,basic
u896700,2020-07-20,JP,Android Tablet,premium
u495250,2020-07-16,CA,Android Tablet,free
u272929,2023-02-07,CA,Mac,premium
u737447,2020-05-22,IN,Windows,premium
u909581,2020-09-11,AU,Windows,basic
u731581,2021-06-18,FR,iPad,premium
u458935,2022-12-14,AU,iPad,basic
u521547,2022-05-06,DE,Mac,enterprise
u896154,2023-09-03,BR,iPad,premium
u316910,2020-05-05,AU,iPhone,enterprise
u318163,2023-12-12,MX,iPhone,free
u327855,2023-12-26,FR,iPad,premium
u664925,2022-04-07,UK,Android Tablet,basic
u984082,2021-08-12,AU,iPad,free
u137532,2021-07-24,UK,Mac,basic
u447747,2023-05-09,FR,Windows,basic
u917830,2020-03-27,CA,Android Tablet,enterprise
u411031,2022-08-26,BR,Mac,enterprise
u548977,2023-01-27,US,Mac,basic
u531039,2022-05-18,DE,Mac,free
u868874,2020-03-06,AU,Android Tablet,basic
u551718,2020-05-25,BR,iPhone,enterprise
u201765,2020-03-19,CA,Windows,premium
u856626,2023-06-29,FR,Android Phone,premium
u155994,2022-07-12,US,iPad,basic
u202787,2022-07-03,IN,Android Phone,basic
u908495,2023-11-26,CA,iPad,enterprise
u947421,2023-02-07,MX,Android Tablet,basic
u435525,2020-04-17,FR,Android Tablet,premium
u108291,2022-12-22,BR,Windows,premium
u831352,2021-05-27,FR,Android Tablet,free
u130592,2021-09-10,CA,Windows,enterprise
u194555,2020-11-12,DE,iPhone,basic
u661391,2020-09-24,CA,iPad,premium
u046217,2022-04-23,BR,iPad,enterprise
u674706,2020-09-13,IN,Mac,basic
u394621,2023-08-01,BR,iPhone,free
u679809,2021-06-11,US,Android Phone,enterprise
u223665,2022-06-17,CA,Android Tablet,enterprise
u248797,2021-05-24,IN,Windows,premium
u607592,2022-02-17,US,iPad,premium
u421358,2020-01-05,US,Windows,free
u056226,2021-04-05,IN,iPad,enterprise
u215998,2021-11-18,MX,Windows,basic
u370167,2023-01-15,FR,iPhone,premium
u078706,2021-09-29,US,Android Tablet,premium
u072758,2022-07-02,JP,Android Phone,basic
u717534,2023-03-23,UK,Mac,premium
u645061,2023-09-30,DE,Windows,enterprise
u549201,2020-11-06,DE,iPad,enterprise
u974050,2021-09-21,AU,iPad,free
u090758,2020-05-22,UK,Android Phone,free
u857470,2022-10-31,MX,Mac,free
u938007,2021-12-24,BR,Mac,free
u991062,2021-10-21,US,Mac,premium
u866383,2022-01-10,AU,Mac,premium
u557447,2021-09-01,MX,Android Phone,basic
u641337,2020-10-28,MX,iPad,free
u690105,2021-02-18,AU,Android Phone,basic
u287798,2022-08-01,AU,Windows,enterprise
u719853,2020-11-02,UK,iPad,premium
u811533,2023-04-20,DE,iPhone,enterprise
u346064,2021-03-07,UK,iPhone,free
u111329,2020-09-20,DE,Android Phone,basic
u138757,2023-05-30,BR,Windows,free
u680954,2023-07-31,AU,Windows,free
u147688,2021-09-12,CA,Windows,basic
u200603,2020-12-23,FR,Windows,premium
u547026,2023-11-18,JP,Windows,premium
u447569,2020-03-31,US,Android Tablet,premium
u051861,2021-06-07,CA,Android Tablet,enterprise
u357176,2022-02-16,MX,Mac,enterprise
u449679,2021-04-25,CA,Android Phone,premium
u250200,2022-04-20,UK,Mac,basic
u293622,2021-02-11,FR,Windows,free
u259377,2021-09-17,US,Android Phone,free
u575556,2020-12-09,IN,iPad,enterprise
u374336,2023-08-27,US,iPhone,basic
u922215,2022-10-01,AU,Mac,basic
u715217,2021-02-02,IN,iPhone,free
u373358,2022-03-24,UK,Windows,enterprise
u381659,2021-07-02,IN,Android Phone,basic
u659133,2020-04-20,MX,Windows,basic
u360109,2022-06-04,US,Android Tablet,free
u908564,2023-09-03,MX,Mac,free
u979039,2023-10-17,DE,Windows,premium
u011135,2020-10-19,BR,iPhone,basic
u451087,2020-06-15,DE,Android Tablet,basic
u590689,2023-01-01,BR,Android Tablet,premium
u352150,2022-04-03,AU,Android Phone,free
u198354,2022-09-17,IN,iPhone,basic
u906601,2021-12-27,MX,Android Phone,basic
u030131,2022-09-06,IN,Android Phone,basic
u986765,2022-02-13,JP,iPad,free
u348259,2022-08-22,CA,Mac,enterprise
u685621,2021-09-28,CA,Android Phone,free
